Nombre_Producto,Bolsa nº 5 papel kraft marrón,Vaso doble pared 9 Oz.,Agitador de madera para café largo,Alfajor choc x un,Etiqueta para rotular producto,Bolsa Ecologica Institucional (40 x 44),Alfajor choc blanco nuez x un,Tapa vaso doble pared 9 Oz.,Vaso doble pared 14 Oz.,Tapa vaso doble pared 14/16 Oz.
Bolsa nº 5 papel kraft marrón,,0.11885528248903421,0.016676016857846282,0.010810369094098044,0.1527097462378733,0.08538752398181015,0.2675021163925169,0.6197658994510056,0.6434148333760301,0.14116409194067164
Vaso doble pared 9 Oz.,0.2601223189002106,,0.09677722869740907,0.00021991429661238942,0.0030715028581101106,0.008215922108347078,0.17529647011035282,0.0035689210948055177,0.5418582716428915,0.23612878377508634
Agitador de madera para café largo,0.2670272208762781,0.5108571271761793,,0.28856865153753164,0.3834779288131187,0.26729691506013187,0.03220926724760477,0.3516023554818708,0.2813074454259482,0.48202417314870116
Alfajor choc x un,0.38113328995149176,0.018302521083242217,0.6495056540570927,,0.23877072033935431,0.31097442553434257,0.30486387868323567,0.6084976624587651,0.15388851187210065,0.12333567536632226
Etiqueta para rotular producto,0.04855119693995607,0.054473556030862555,0.04623462859178425,0.018345617016240344,,0.061448250951389366,0.015839301671806704,0.02841711079405983,0.25593053478750316,0.014882297091442447
Bolsa Ecologica Institucional (40 x 44),0.2351623191421357,0.5069643686819222,0.05508211328725009,0.17822799618778778,0.7835041309214894,,0.14168956949878872,0.8305170970836959,0.254027283653732,0.10331083349510269
Alfajor choc blanco nuez x un,0.30633262572557096,0.7609217070323082,0.12105273211571502,0.8157157186462038,0.10942906443077788,0.0942199797955837,,0.5782727661338489,0.01045990245062983,0.003223715434081719
Tapa vaso doble pared 9 Oz.,0.4345680322533564,0.6660091732153652,0.2410775783641558,0.5447689049842388,0.855034083158959,0.5313458759955687,0.43335698655805366,,0.0025774056066329115,0.47805891615491325
Vaso doble pared 14 Oz.,0.22863289141965557,0.001228908531772113,0.4322185231577599,0.007276382713813179,0.043202539600757275,0.8712926636415049,0.5375090759352866,0.19587987605725027,,0.18291279741288255
Tapa vaso doble pared 14/16 Oz.,0.16037087871333108,0.4647430437701989,0.1348484721409097,0.18438779390991042,0.005056795612268957,0.025137446599764728,0.008449729226673825,0.3826354910546672,0.3837910154969357,
