Nombre_Producto,Alfajor choc x un,Alfajor 70 cacao x un,Alfajor mixto caja x6un,Alfajor Super DDL x un,Jarrito + Producto Havanna,Havannet choc x un,Alfajor choc blanco nuez x un,Cafe cortado Jarrito,Alfajor merengue x un,Alfajor mixto caja x 12un
Alfajor choc x un,,0.19926640010401697,0.6944526385139822,0.43416488881691173,0.6060706847918214,0.3507060832219891,0.22685913604470434,0.3207682655823675,0.5190659396081789,0.37522980365718517
Alfajor 70 cacao x un,0.05438617203154516,,0.6297957320199568,0.8672751626673485,0.13645237003618338,0.09429870796110829,0.47724061093672754,0.12733411443746975,0.22580960830637437,0.33434704775917046
Alfajor mixto caja x6un,0.12212793836491079,0.10945784731386533,,0.05689873400441841,0.10353681068180876,0.035993569069244405,0.6982664882259229,0.2423281008940474,0.2269398111845301,0.0059040548835956755
Alfajor Super DDL x un,0.07272952648692577,0.24988618676945312,0.1976236795382002,,0.09647267922521695,0.13662195425567705,0.3386163544212589,0.09187737896633939,0.15444244774864607,0.09816494567519188
Jarrito + Producto Havanna,0.2909339500600154,0.34228028643363223,0.6279779796571953,0.7110820855454305,,0.7116382067270927,0.4857877154789334,0.005805343625849337,0.27565665495434744,0.19303782161543323
Havannet choc x un,0.1206199948801399,0.037945899842415406,0.48464304998041374,0.3511664495845783,0.4681178922048642,,0.19914296896168734,0.20761224343682363,0.08796860241671296,0.03157997446348256
Alfajor choc blanco nuez x un,0.1994931907565567,0.24337178219703176,0.48844309989515367,0.375062617410262,0.1537238284887587,0.35251531871509567,,0.0985141666384012,0.40143590569186505,0.06214597066521839
Cafe cortado Jarrito,0.6018938676283395,0.7655639325602144,0.3375038630672841,0.670463364091149,0.7302152862401701,0.2053952804302126,0.8356669916359134,,0.7426174099097442,0.9025423095409217
Alfajor merengue x un,0.3811018147248977,0.446393944618396,0.31809154668635503,0.7130375080762787,0.39432190729157357,0.400964923959487,0.35547819904258093,0.35791125964990556,,0.5618792708579846
Alfajor mixto caja x 12un,0.0004626440723297401,0.024362215665325117,0.03944599164601353,0.1063859914276284,0.0009240863127205161,0.0028586944373603504,0.22836462977793773,0.004245131611697691,0.0008114199548932825,
