caused,causing,p_min
Vaso doble pared 9 Oz.,Alfajor choc x un,0.00021991429661238942
Vaso doble pared 14 Oz.,Vaso doble pared 9 Oz.,0.001228908531772113
Tapa vaso doble pared 9 Oz.,Vaso doble pared 14 Oz.,0.0025774056066329115
Vaso doble pared 9 Oz.,Etiqueta para rotular producto,0.0030715028581101106
Alfajor choc blanco nuez x un,Tapa vaso doble pared 14/16 Oz.,0.003223715434081719
Vaso doble pared 9 Oz.,Tapa vaso doble pared 9 Oz.,0.0035689210948055177
Tapa vaso doble pared 14/16 Oz.,Etiqueta para rotular producto,0.005056795612268957
Vaso doble pared 14 Oz.,Alfajor choc x un,0.007276382713813179
Vaso doble pared 9 Oz.,Bolsa Ecologica Institucional (40 x 44),0.008215922108347078
Tapa vaso doble pared 14/16 Oz.,Alfajor choc blanco nuez x un,0.008449729226673825
Alfajor choc blanco nuez x un,Vaso doble pared 14 Oz.,0.01045990245062983
Bolsa nº 5 papel kraft marrón,Alfajor choc x un,0.010810369094098044
Etiqueta para rotular producto,Tapa vaso doble pared 14/16 Oz.,0.014882297091442447
Etiqueta para rotular producto,Alfajor choc blanco nuez x un,0.015839301671806704
Bolsa nº 5 papel kraft marrón,Agitador de madera para café largo,0.016676016857846282
Alfajor choc x un,Vaso doble pared 9 Oz.,0.018302521083242217
Etiqueta para rotular producto,Alfajor choc x un,0.018345617016240344
Tapa vaso doble pared 14/16 Oz.,Bolsa Ecologica Institucional (40 x 44),0.025137446599764728
Etiqueta para rotular producto,Tapa vaso doble pared 9 Oz.,0.02841711079405983
Agitador de madera para café largo,Alfajor choc blanco nuez x un,0.03220926724760477
