caused,causing,p_min
Alfajor mixto caja x 12un,Alfajor choc x un,0.0004626440723297401
Alfajor mixto caja x 12un,Alfajor merengue x un,0.0008114199548932825
Alfajor mixto caja x 12un,Jarrito + Producto Havanna,0.0009240863127205161
Alfajor mixto caja x 12un,Havannet choc x un,0.0028586944373603504
Alfajor mixto caja x 12un,Cafe cortado Jarrito,0.004245131611697691
Jarrito + Producto Havanna,Cafe cortado Jarrito,0.005805343625849337
Alfajor mixto caja x6un,Alfajor mixto caja x 12un,0.0059040548835956755
Alfajor mixto caja x 12un,Alfajor 70 cacao x un,0.024362215665325117
Havannet choc x un,Alfajor mixto caja x 12un,0.03157997446348256
Alfajor mixto caja x6un,Havannet choc x un,0.035993569069244405
Havannet choc x un,Alfajor 70 cacao x un,0.037945899842415406
Alfajor mixto caja x 12un,Alfajor mixto caja x6un,0.03944599164601353
Alfajor 70 cacao x un,Alfajor choc x un,0.05438617203154516
Alfajor mixto caja x6un,Alfajor Super DDL x un,0.05689873400441841
Alfajor choc blanco nuez x un,Alfajor mixto caja x 12un,0.06214597066521839
Alfajor Super DDL x un,Alfajor choc x un,0.07272952648692577
Havannet choc x un,Alfajor merengue x un,0.08796860241671296
Alfajor Super DDL x un,Cafe cortado Jarrito,0.09187737896633939
Alfajor 70 cacao x un,Havannet choc x un,0.09429870796110829
Alfajor Super DDL x un,Jarrito + Producto Havanna,0.09647267922521695
