Region,Country,State,City,Month,Day,Year,AvgTemperature
South/Central America & Carribean,Argentina,,Buenos Aires,1,1,1995,82.4
South/Central America & Carribean,Argentina,,Buenos Aires,1,2,1995,75.1
South/Central America & Carribean,Argentina,,Buenos Aires,1,3,1995,73.7
South/Central America & Carribean,Argentina,,Buenos Aires,1,4,1995,77.1
South/Central America & Carribean,Argentina,,Buenos Aires,1,5,1995,79.5
South/Central America & Carribean,Argentina,,Buenos Aires,1,6,1995,71.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,7,1995,71.4
South/Central America & Carribean,Argentina,,Buenos Aires,1,8,1995,75.2
South/Central America & Carribean,Argentina,,Buenos Aires,1,9,1995,66.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,10,1995,61.8
South/Central America & Carribean,Argentina,,Buenos Aires,1,11,1995,67.1
South/Central America & Carribean,Argentina,,Buenos Aires,1,12,1995,72.0
South/Central America & Carribean,Argentina,,Buenos Aires,1,13,1995,74.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,14,1995,78.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,15,1995,81.9
South/Central America & Carribean,Argentina,,Buenos Aires,1,16,1995,72.5
South/Central America & Carribean,Argentina,,Buenos Aires,1,17,1995,65.0
South/Central America & Carribean,Argentina,,Buenos Aires,1,18,1995,70.5
South/Central America & Carribean,Argentina,,Buenos Aires,1,19,1995,75.2
South/Central America & Carribean,Argentina,,Buenos Aires,1,20,1995,74.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,21,1995,74.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,22,1995,77.8
South/Central America & Carribean,Argentina,,Buenos Aires,1,23,1995,80.4
South/Central America & Carribean,Argentina,,Buenos Aires,1,24,1995,71.7
South/Central America & Carribean,Argentina,,Buenos Aires,1,25,1995,71.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,26,1995,75.6
South/Central America & Carribean,Argentina,,Buenos Aires,1,27,1995,76.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,28,1995,67.6
South/Central America & Carribean,Argentina,,Buenos Aires,1,29,1995,67.2
South/Central America & Carribean,Argentina,,Buenos Aires,1,30,1995,69.3
South/Central America & Carribean,Argentina,,Buenos Aires,1,31,1995,77.5
South/Central America & Carribean,Argentina,,Buenos Aires,2,1,1995,67.5
South/Central America & Carribean,Argentina,,Buenos Aires,2,2,1995,67.7
South/Central America & Carribean,Argentina,,Buenos Aires,2,3,1995,71.8
South/Central America & Carribean,Argentina,,Buenos Aires,2,4,1995,66.9
South/Central America & Carribean,Argentina,,Buenos Aires,2,5,1995,65.3
South/Central America & Carribean,Argentina,,Buenos Aires,2,6,1995,68.2
South/Central America & Carribean,Argentina,,Buenos Aires,2,7,1995,74.5
South/Central America & Carribean,Argentina,,Buenos Aires,2,8,1995,75.3
South/Central America & Carribean,Argentina,,Buenos Aires,2,9,1995,77.2
South/Central America & Carribean,Argentina,,Buenos Aires,2,10,1995,72.4
South/Central America & Carribean,Argentina,,Buenos Aires,2,11,1995,74.0
South/Central America & Carribean,Argentina,,Buenos Aires,2,12,1995,75.0
South/Central America & Carribean,Argentina,,Buenos Aires,2,13,1995,77.1
South/Central America & Carribean,Argentina,,Buenos Aires,2,14,1995,75.5
South/Central America & Carribean,Argentina,,Buenos Aires,2,15,1995,73.2
